
Krankheitskosten je Einwohner in &euro; für Deutschland. Gliederungsmerkmale: Jahre, Alter, Geschlecht, ICD-10, Einrichtungen
****************************************************************************************************

Diese Tabelle bezieht sich auf:
;"2020";
;"Insgesamt";"Männlich";"Weiblich";
"        Krankheitskosten je Einwohner insgesamt";"5.190";"4.690";"5.690";
"        nach Krankheiten ...";"-";"-";"-";
"          A00-B99 Bestimmte infektiöse und parasitäre Krankheiten";"90";"100";"80";
"          C00-D48 Neubildungen";"530";"530";"520";
"          D50-D90 Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems";"60";"70";"60";
"          E00-E90 Endokrine, Ernährungs- und Stoffwechselkrankheiten";"210";"200";"220";
"          F00-F99 Psychische und Verhaltensstörungen";"680";"540";"820";
"          G00-G99 Krankheiten des Nervensystems";"280";"260";"300";
"          H00-H59 Krankheiten des Auges und der Augenanhangsgebilde";"170";"140";"190";
"          H60-H95 Krankheiten des Ohres und des Warzenfortsatzes";"40";"40";"40";
"          I00-I99 Krankheiten des Kreislaufsystems";"680";"710";"650";
"          J00-J99 Krankheiten des Atmungssystems";"230";"240";"210";
"          K00-K93 Krankheiten des Verdauungssystems";"570";"550";"580";
"          L00-L99 Krankheiten der Haut und der Unterhaut";"70";"70";"70";
"          M00-M99 Krankheiten des Muskel-Skelett-Systems und des Bindegewebes";"500";"360";"640";
"          N00-N99 Krankheiten des Urogenitalsystems";"170";"170";"170";
"          O00-O99 Schwangerschaft, Geburt und Wochenbett";"70";"X";"140";
"          P00-P96 Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben";"30";"30";"20";
"          Q00-Q99 Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien";"30";"30";"40";
"          R00-R99 Symptome und abnorme klinische und Laborbefunde, die andernorts nicht klassifiziert sind";"270";"180";"360";
"          S00-T98 Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen";"280";"250";"300";
"          Z00-Z99 Faktoren, die den Gesundheitszustand beeinflussen und zur Inanspruchnahme des Gesundheitswesens führen";"230";"200";"260";
"        nach Einrichtungen ...";"-";"-";"-";
"          Gesundheitsschutz";"40";"30";"50";
"          Ambulante Einrichtungen";"2.570";"2.260";"2.870";
"          Stationäre / teilstationäre Einrichtungen";"1.980";"1.840";"2.120";
"          Rettungsdienste";"80";"80";"80";
"          Private Haushalte";"200";"180";"220";
"          Verwaltung und sonstige Einrichtungen";"320";"290";"340";
"        nach Alter ...";"-";"-";"-";
"          Unter 15 Jahre";"2.440";"2.560";"2.310";
"          15 Jahre bis unter 30 Jahre";"2.450";"2.020";"2.910";
"          30 Jahre bis unter 45 Jahre";"2.570";"2.110";"3.040";
"          45 Jahre bis unter 65 Jahre";"4.480";"4.400";"4.550";
"          65 Jahre bis unter 85 Jahre";"10.150";"10.410";"9.930";
"          85 Jahre und älter";"25.350";"22.210";"26.940";

****************************************************************************************************
Fußnoten
****************************************************************************************************


****************************************************************************************************
Die Tabelle wurde am 13.06.2025 20:18 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
KKR, Statistisches Bundesamt, Zweigstelle Bonn
